community_title_2,Price_2,Bedrooms_2,Address_2,Top 1 Amenity_2,Top 2 Amenity_2,Top 3 Amenity_2,Offer_2
Bridgeport Coast,"$2,189-$3,659","| STUDIO, 1, 2, 3 BEDROOMS","Bridgeport Coast Apartments
24100 Newhall Ranch Road
Santa Clarita, CA 91355",Clubhouse,Fitness center,Swimming pool,NA
Fairhaven,"$2,145-$2,828","| 1, 2 BEDROOMS","Fairhaven Apartments
1300 East Fairhaven
Santa Ana, CA 92705",Resident lounge,Fitness center,Swimming pool,NA
Parkside Court,"$2,080-$2,799","| 1, 2 BEDROOMS","Parkside Court Apartments
4200 West 1st Street
Santa Ana, CA 92703",Smart home technology,Swimming pool,Dog park,NA
Pinnacle at MacArthur Place,"$2,315-$3,421","| 1, 2 BEDROOMS","Pinnacle at MacArthur Place Apartments
31 E. MacArthur Crescent
Santa Ana, CA 92707",Clubhouse,Fitness center,Swimming pool,NA
Emerald Pointe,"$2,410-$2,835","| 1, 2 BEDROOMS","Emerald Pointe Apartments
2840 S. Diamond Bar Blvd
Diamond Bar, CA 91765",Fitness center,Swimming pool,Spa,NA
Villa Angelina,"$2,097-$2,740","| 1, 2 BEDROOMS","Villa Angelina Apartments
201 E Chapman Ave
Placentia, CA 92870",Clubhouse,Fitness center,Swimming pool,NA
Pinnacle at Otay Ranch,"$2,500-$3,019","| 1, 2, 3 BEDROOMS","Pinnacle at Otay Ranch Apartments
1310 Santa Rita Drive
Chula Vista, CA 91913",Fitness center,Swimming pool,Clubhouse,NA
The Hallie,"$2,294-$3,292","| STUDIO, 1, 2, 3 BEDROOMS","The Hallie Apartments
280 E Del Mar Blvd
Pasadena, CA 91101",Fitness center,Swimming pool,Clubhouse,NA
The Stuart at Sierra Madre Villa,"$2,460-$3,734","| 1, 2 BEDROOMS","The Stuart at Sierra Madre Villa Apartments
3360 East Foothill Boulevard
Pasadena, CA 91107",Fitness center,Swimming pool,Clubroom,NA
Aqua at Marina del Rey,"$2,733-$5,334","| 1, 2, 3 BEDROOMS","Aqua Marina del Rey Apartments
4750 Lincoln Blvd
Marina del Rey, CA 90292",Fitness center,Swimming pool,Clubhouse,NA
Renaissance at Uptown Orange,"$2,351-$3,165","| 1, 2 BEDROOMS","Renaissance at Uptown Orange Apartments
3063 W Chapman Avenue
Orange, CA 92868",Fitness center,Swimming pool,Clubhouse,NA
The Promenade at Marina City Club,"$3,594-$4,854","| 1, 2, 3 BEDROOMS","The Promenade at Marina City Club Apartments
4333 Admiralty Way Ste 10
Marina del Rey, CA 90292",Swimming pool,Fitness center,Clubroom,NA
Country Villas,"$2,384-$3,019","| 2, 3 BEDROOMS","Country Villas Apartments
283 Douglas Dr
Oceanside, CA 92058",Fitness center,Swimming pool,Spa,NA
Mission Hills,"$2,495-$2,870",| 2 BEDROOMS,"Mission Hills Apartments
264 Rancho del Oro Drive
Oceanside, CA 92057",Swimming pool,Fitness center,Ultrafast Internet connectivity,NA
Mirabella,"$3,394-$5,024","| 1, 2, 3 BEDROOMS","Mirabella Apartments
13701 Marina Pointe Dr
Marina del Rey, CA 90292",Fitness center,Swimming pool,Clubhouse,NA
Alessio,"$2,215-$3,499","| 1, 2 BEDROOMS","Alessio Apartments
5700 W. Centinela
Los Angeles, CA 90045",Fitness center,Swimming pool,Spa,NA
Regency Palm Court,"$1,549-$1,779","| STUDIO, 1 BEDROOMS","Regency Palm Court Apartments
914 S. Wilton Place
Los Angeles, CA 90019",Lounge area,On-site laundry,Ultrafast Internet connectivity,NA
Hillcrest Park,"$2,019-$2,934","| 1, 2 BEDROOMS","Hillcrest Park Apartments
1800 W Hillcrest Dr
Newbury Park, CA 91320",Fitness center,Swimming pool,Spa,NA
The Henley,"$2,436-$3,889","| 1, 2, 3 BEDROOMS","The Henley Apartments
245 W Loraine St
Glendale, CA 91202",Fitness center,Swimming pool,Lounge area,NA
Walnut Heights,"$1,919-$2,004","| 1, 2, 3 BEDROOMS","Walnut Heights Apartments
20700 San Jose Hills Rd
Walnut, CA 91789",Smart home technology,Fitness center,Swimming pool,NA
Arbors at Parc Rose,"$2,575-$3,619","| 1, 2, 3 BEDROOMS","Arbors at Parc Rose Apartments
1500 Tulipan Circle
Oxnard, CA 93030",Fitness center,Swimming pool,BBQ area,NA
Montejo,"$2,072-$2,620","| 1, 2 BEDROOMS","Montejo Apartments
12901 Dale St
Garden Grove, CA 92841",Smart home technology,Swimming pool,Playground,NA
Shadow Point,"$1,896-$2,470","| 1, 2 BEDROOMS","Shadow Point Apartments
9830 Dale Ave
Spring Valley, CA 91977",Smart home technology,Fitness center,Swimming pool,NA
Tierra Vista,"$2,375-$3,358","| 1, 2, 3 BEDROOMS","Tierra Vista Apartments
1750 Montevina Circle
Oxnard, CA 93030",Fitness center,Swimming pool,Smart home technology,NA
Mariners Place,"$2,450-$2,572","| 1, 2 BEDROOMS","Mariners Place Apartments
711 S B Street
Oxnard, CA 93030",Smart home technology,Swimming pool,Ultrafast Internet connectivity,NA
The Village at Toluca Lake,"$2,204-$3,213","| STUDIO, 1, 2 BEDROOMS","The Village at Toluca Lake Apartments
211 N Valley St
Burbank, CA 91505",Fitness center,Swimming pool,Smart home technology,NA
Passage Buena Vista,"$3,081-$3,589","| 1, 2, 3 BEDROOMS","Passage Buena Vista Apartments
740 Paseo Buena Vista
Vista, CA 92084",Fitness center,Swimming pool,Recreation room,NA
Monterey Villas,"$2,529-$2,769",| 2 BEDROOMS,"Monterey Villas Apartments
1018 Kelp Ln
Oxnard, CA 93035",Fitness center,Swimming pool,Clubhouse,NA
Meadowood,"$2,125-$2,474","| 1, 2, 3 BEDROOMS","Meadowood Apartments
1733 Cochran St
Simi Valley, CA 93065",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Fairway at Big Canyon,"Starting from $4,524","| 1, 2, 3 BEDROOMS","Fairway at Big Canyon Apartments
48 1/2 Pine Valley Ln
Newport Beach, CA 92660",Smart home technology,Swimming pool,Ultrafast Internet connectivity,NA
Pinnacle at Talega,"$2,331-$3,704","| 1, 2, 3 BEDROOMS","Pinnacle at Talega Apartments
120 Calle Amistad
San Clemente, CA 92673",Fitness center,Swimming pool,BBQ area,NA
The Vistas of West Hills,"$2,250-$3,329","| 1, 2, 3 BEDROOMS","The Vistas of West Hills Apartments
24015 Copper Hill Drive
Valencia, CA 91354",Fitness center,Swimming pool,Clubhouse,NA
Bonita Cedars,"$2,333-$3,119","| 1, 2, 3 BEDROOMS","Bonita Cedars Apartments
5155 Cedarwood Rd
Bonita, CA 91902",Smart home technology,Swimming pool,Pet friendly,NA
The Fairways at Westridge,"$2,325-$3,384","| 1, 2, 3 BEDROOMS","The Fairways at Westridge Apartments
25343 Silver Aspen Way
Valencia, CA 91381",Clubhouse,Fitness center,Swimming pool,NA
Alpine Village,"$2,044-$2,425","| STUDIO, 2 BEDROOMS","Alpine Village Apartments
2055 Arnold Way
Alpine, CA 91901",Swimming pool,Clubhouse,Fitness center,NA
Avery,"$3,159-$3,319","| 1, 2 BEDROOMS","Avery Apartments
12005 Albers Street
Valley Village, CA 91607",Resident lounge,Fitness center,Swimming pool,NA
Avondale at Warner Center,"$2,036-$2,540","| STUDIO, 1, 2 BEDROOMS","Avondale at Warner Center Apartments
22222 Victory Blvd
Woodland Hills, CA 91367",Fitness center,Swimming pool,Clubhouse,NA
Hope Ranch,"$2,555-$2,935","| STUDIO, 1, 2 BEDROOMS","Hope Ranch Apartments
3999 Via Lucero
Santa Barbara, CA 93110",Swimming pool,BBQ area,Bike storage,NA
Ashton Sherman Village,"$2,717-$3,345","| 1, 2 BEDROOMS","Ashton Sherman Village Apartments
12629 Riverside Drive
Valley Village, CA 91607",Clubhouse,Fitness center,Swimming pool,NA
Reveal,"$2,249-$3,750","| 1, 2, 3 BEDROOMS","Reveal Apartments
21201 Kittridge St
Woodland Hills, CA 91303",Fitness center,Swimming pool,Clubroom,NA
Emerson Valley Village,"$2,746-$3,260","| 1, 2 BEDROOMS","Emerson Valley Village Apartments
12000 Riverside Drive
Valley Village, CA 91607",Fitness center,Swimming pool,Clubroom,NA
Allegro,"$2,921-$3,979","| 2, 3 BEDROOMS","Allegro Apartments
11945 Magnolia Blvd
Valley Village, CA 91607",Smart home technology,Fitness center,Ultrafast Internet connectivity,NA
The Lofts at Pinehurst,"$1,959-$2,279","| STUDIO, 1 BEDROOMS","The Lofts at Pinehurst Apartments
1021 Scandia Ave
Ventura, CA 93004",Swimming pool,Fitness center,Clubhouse,NA
The Huxley,"$2,329-$3,829","| STUDIO, 1, 2 BEDROOMS","The Huxley Apartments
1234 N La Brea Avenue
West Hollywood, CA 90038",Fitness center,Swimming pool,Clubhouse,NA
Woodside Village,"$2,545-$3,004","| 2, 3 BEDROOMS","Woodside Village Apartments
675 Providence Ave
Ventura, CA 93004",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
Villa Siena,"$2,313-$3,518","| 1, 2, 3 BEDROOMS","Villa Siena Apartments
1250 Adams Avenue
Costa Mesa, CA 92626",Clubhouse,Swimming pool,Fitness center,NA
Village Green,"$1,887-$2,030","| 1, 2 BEDROOMS","Village Green Apartments
901 South Idaho Street
La Habra, CA 90631",Smart home technology,Swimming pool,Dog park,NA
Hillsborough Park,"$2,496-$3,416","| 1, 2 BEDROOMS","Hillsborough Park Apartments
1501 S Beach Blvd
La Habra, CA 90631",Dog park,Fitness center,Swimming pool,NA
Camarillo Oaks,"$2,125-$2,709","| 1, 2, 3 BEDROOMS","Camarillo Oaks Apartments
921 Paseo Camarillo
Camarillo, CA 93010",Fitness center,Swimming pool,Clubhouse,NA
Huntington Breakers,"$2,220-$3,260","| STUDIO, 1, 2 BEDROOMS","Huntington Breakers Apartments
21270 Beach Blvd
Huntington Beach, CA 92648",Dog park,Fitness center,Swimming pool,NA
The Palms at Laguna Niguel,"$2,352-$3,019","| 1, 2 BEDROOMS","The Palms at Laguna Niguel Apartments
28188 Moulton Pkwy
Laguna Niguel, CA 92677",Swimming pool,Dog park,Clubhouse,NA
Hacienda at Camarillo Oaks,"Starting from $2,559","| 1, 2 BEDROOMS","Hacienda at Camarillo Oaks Apartments
811 Paseo Camarillo
Camarillo, CA 93010",Swimming pool,Spa,BBQ area,NA
The Huntington,"$2,005-$3,061","| STUDIO, 1, 2 BEDROOMS","The Huntington Apartments
8400 Edinger Avenue
Huntington Beach, CA 92647",Clubhouse,Fitness center,Swimming pool,NA
The Barkley,"$2,019-$2,934","| 1, 2 BEDROOMS","The Barkley Apartments
2400 E Lincoln Ave
Anaheim, CA 92806",Smart home technology,Swimming pool,Ultrafast Internet connectivity,NA
Park Viridian,"$2,131-$2,971","| STUDIO, 1, 2 BEDROOMS","Park Viridian Apartments
1515 E Katella Avenue
Anaheim, CA 92805",Fitness center,Swimming pool,Clubhouse,NA
Wilshire Promenade,"$2,333-$3,076","| 1, 2 BEDROOMS","Wilshire Promenade Apartments
141 W Wilshire Ave
Fullerton, CA 92832",Smart home technology,Fitness center,Swimming pool,NA
Capri at Sunny Hills,"$3,419-$3,624",| 3 BEDROOMS,"Capri at Sunny Hills Apartments
2341 Daphne Pl
Fullerton, CA 92833",Smart home technology,Fitness center,Swimming pool,NA
Pinnacle at Fullerton,"$2,204-$3,284","| STUDIO, 1, 2, 3 BEDROOMS","Pinnacle at Fullerton Apartments
229 East Commonwealth Ave
Fullerton, CA 92832",Swimming pool,Clubroom,Fitness center,NA
Haver Hill,"$1,889-$2,849","| STUDIO, 1, 2 BEDROOMS","Haver Hill Apartments
3100 East Yorba Linda Boulevard
Fullerton, CA 92831",Fitness center,Swimming pool,Dog park,NA
Valley Park,"$2,429-$3,383","| 2, 3 BEDROOMS","Valley Park Apartments
17300 Euclid Street
Fountain Valley, CA 92708",Smart home technology,Fitness center,Swimming pool,NA
The Havens,"$2,282-$2,888","| 1, 2 BEDROOMS","The Havens Apartments
10441 Slater Ave
Fountain Valley, CA 92708",Fitness center,Swimming pool,Clubhouse,NA
Bellerive,"$3,779-$3,789","| 1, 2, 3 BEDROOMS","Bellerive Apartments
1929 Beloit Ave
Los Angeles, CA 90025",BBQ area,Bike storage,Ultrafast Internet connectivity,NA
Essex Properties at Miracle Mile,"$2,189-$3,141","| STUDIO, 1, 2 BEDROOMS","Essex Properties at Miracle Mile Apartments
400 S Detroit St
Los Angeles, CA 90036",Fitness center,Swimming pool,Rooftop terrace,NA
Wallace on Sunset,"$1,998-$4,188","| STUDIO, 1, 2, 3 BEDROOMS","Wallace on Sunset Apartments
6240 West Sunset Blvd
Los Angeles, CA 90028",Rooftop terrace,Swimming pool,Fitness center,NA
The Blake LA,"$1,964-$2,714","| STUDIO, 1, 2 BEDROOMS","The Blake LA Apartments
733 N Kings Rd
Los Angeles, CA 90069",Fitness center,Swimming pool,Dog park,NA
Vela on Ox,"$2,278-$3,927","| STUDIO, 1, 2 BEDROOMS","Vela on Ox Apartments
21221 W Oxnard St
Los Angeles, CA 91367",Fitness center,Recreation room,Swimming pool,NA
Tiffany Court,"$2,229-$3,009","| STUDIO, 1, 2 BEDROOMS","Tiffany Court Apartments
616 Masselin Avenue
Los Angeles, CA 90036",On-site laundry,Swimming pool,Ultrafast Internet connectivity,NA
Trabuco Villas,"$3,189-$3,397","| 1, 2 BEDROOMS","Trabuco Villas Apartments
25381 Mosswood Way
Lake Forest, CA 92630",Smart home technology,Swimming pool,BBQ area,NA
Pathways at Bixby Village,"$2,252-$3,254","| 1, 2 BEDROOMS","Pathways at Bixby Village Apartments
5980 Bixby Village Dr
Long Beach, CA 90803",Dog park,Swimming pool,Fitness center,NA
Belmont Station,"$2,119-$3,220","| STUDIO, 1, 2, 3 BEDROOMS","Belmont Station Apartments
1304 W 2nd St
Los Angeles, CA 90026",Resident lounge,Swimming pool,Fitness center,NA
Marbrisa,"$1,969-$3,015","| STUDIO, 1, 2 BEDROOMS","Marbrisa Apartments
1809 Termino Ave
Long Beach, CA 90815",Fitness center,Swimming pool,Ultrafast Internet connectivity,NA
